Description,Calories,Protein,Fat,Carbs
"CANDIES,MARS SNACKFOOD US,COCOAVIA CRISPY CHOC BAR",517.0,8.21,26.23,62.06
"PUDDINGS,LEMON,DRY MIX,INST",378.0,0.0,0.7,95.4
"PUDDINGS,LEMON,DRY MIX,INST,PREP W/ WHL MILK",115.0,2.7,2.9,20.1
"PUDDINGS,LEMON,DRY MIX,REG",363.0,0.1,0.5,91.8
"PUDDING,LEMON,DRY MIX,REG,PREP W/ SUGAR,EGG YOLK & H2O",109.0,0.65,1.12,24.2
"SUGARS,BROWN",380.0,0.12,0.0,98.09
"SUGARS,GRANULATED",387.0,0.0,0.0,99.98
"SUGARS,POWDERED",389.0,0.0,0.0,99.77
"SWEETENERS,TABLETOP,ASPRT,EQ,PACKETS",365.0,2.17,0.0,89.08
"SUGARS,MAPLE",354.0,0.1,0.2,90.9
"SYRUPS,CHOC,HERSHEY'S GENUINE CHOC FLAV LITE SYRUP",153.0,1.4,0.97,34.56
"SYRUPS,CHOC,FUDGE-TYPE",350.0,4.6,8.9,62.9
"SYRUPS,CORN,DK",286.0,0.0,0.0,77.59
"SYRUPS,CORN,LT",283.0,0.0,0.2,76.79
"SYRUPS,CORN,HIGH-FRUCTOSE",281.0,0.0,0.0,76.0
"SYRUPS,MALT",318.0,6.2,0.0,71.3
"SYRUPS,MAPLE",260.0,0.04,0.06,67.04
"SYRUPS,SORGHUM",290.0,0.0,0.0,74.9
"CANDIES,MARS SNACKFOOD US,SNICKERS CRUNCHER",488.0,6.86,24.38,62.85
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE",265.0,0.0,0.1,69.6
"SYRUPS,TABLE BLENDS,CANE&15% MAPLE",278.0,0.0,0.1,69.52
"SYRUPS,TABLE BLENDS,CORN,REFINER,&SUGAR",319.0,0.0,0.0,83.9
"CANDIES,MARS SNACKFOOD US,SKITTLES WILD BERRY BITE SIZE",402.0,0.19,4.25,90.76
"TOPPINGS,BUTTERSCOTCH OR CARAMEL",252.0,1.5,0.1,65.9
"TOPPINGS,MARSHMLLW CRM",322.0,0.8,0.3,79.0
"TOPPINGS,PINEAPPLE",253.0,0.1,0.1,66.4
"TOPPINGS,NUTS IN SYRUP",448.0,4.5,22.0,58.08
"CANDIES,MARS SNACKFOOD US,SKITTLES TROPICAL BITE SIZE CAND",405.0,0.19,4.34,90.77
"CANDIES,MARS SNACKFOOD US,SKITTLES SOURS ORIGINAL",401.0,0.18,4.0,91.02
"CANDIES,MARS SNACKFOOD US,SKITTLES ORIGINAL BITE SIZE CAND",405.0,0.19,4.37,90.78
"FROSTINGS,VANILLA,CREAMY,DRY MIX,PREP W/ MARGARINE",413.0,0.34,12.74,74.28
"FROSTINGS,CHOC,CREAMY,DRY MIX,PREP W/ MARGARINE",404.0,1.1,12.87,71.02
"FROSTINGS,GLAZE,PREPARED-FROM-RECIPE",341.0,0.44,0.53,83.65
"CANDIES,FUDGE,CHOC MARSHMLLW,PREPARED-FROM-RECIPE",453.0,2.26,17.48,71.34
"CANDIES,TAFFY,PREPARED-FROM-RECIPE",397.0,0.03,3.33,91.56
"CANDIES,TOFFEE,PREPARED-FROM-RECIPE",560.0,1.07,32.75,64.72
"CANDIES,DIVINITY,PREPARED-FROM-RECIPE",364.0,1.32,0.06,89.05
"FROZEN NOVELTIES,ICE TYPE,PINEAPPLE-COCONUT",113.0,0.0,2.6,23.9
"FROZEN YOGURTS,CHOC,SOFT-SERVE",160.0,4.0,6.0,24.9
BANANA CHIPS,519.0,2.3,33.6,58.4
"CORNNUTS,BARBECUE-FLAVOR",436.0,9.0,14.3,71.7
"CORNNUTS,NACHO-FLAVOR",438.0,9.4,14.2,71.6
"CRISPED RICE BAR,ALMOND",458.0,7.0,20.4,64.6
"GRANOLA BARS,SOFT,UNCOATED,CHOC CHIP",418.0,5.65,16.57,70.2
"GRANOLA BARS,SOFT,UNCOATED,CHOC CHIP,GRAHAM&MARSHMLLW",427.0,6.1,15.5,70.8
"GRANOLA BARS,SOFT,UNCOATED,NUT&RAISIN",454.0,8.0,20.4,63.6
"SNACKS,BF STKS,SMOKED",550.0,21.5,49.6,5.4
"PORK SKINS,BARBECUE-FLAVOR",538.0,57.9,31.8,1.6
"FROSTING,GLAZ,CHC,PREP-FRM-RCIP,W/ BUTR,NFSMI RECIP NO. C-32",359.0,1.42,7.17,72.18
"SNACK,POTATO CHIPS,MADE FROM DRIED POTATOES,PLN",559.0,4.45,38.41,52.02
"POTATO CHIPS,PLAIN,SALTED",542.0,6.56,36.4,50.81
"POTATO CHIPS,MADE FROM DRIED POTATOES,CHEESE-FLAVOR",551.0,7.0,37.0,50.6
"SNACKS,RICE CAKES,BROWN RICE,CORN",385.0,8.4,3.2,81.2
"RICE CAKES,BROWN RICE,MULTIGRAIN",387.0,8.5,3.5,80.1
"SNACKS,POTATO STKS",522.0,6.7,34.4,53.3
"RICE CAKES,BROWN RICE,RYE",386.0,8.1,3.8,79.9
"SESAME STKS,WHEAT-BASED,SALTED",541.0,10.9,36.7,46.5
CORN CAKES,387.0,8.1,2.4,83.4
"GRANOLA BARS,HARD,PNUT BUTTER",483.0,9.8,23.8,62.3
"POTATO CHIPS,CHEESE-FLAVOR",496.0,8.5,27.2,57.7
"SNACKS,POTATO CHIPS,RED FAT",471.0,7.1,20.8,66.9
"SNACKS,POTATO CHIPS,FAT-FREE,MADE W/OLESTRA",274.0,7.74,0.7,65.0
"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,RED FAT",445.0,8.7,15.2,71.6
"TORTILLA CHIPS,LOFAT,BKD WO/FAT",415.0,11.0,5.7,80.0
"CHEESE PUFFS & TWISTS,CORN BSD,BKD,LOFAT",432.0,8.5,12.1,72.35
"SNACKS,GRANOLA BAR,FRUIT-FILLED,NONFAT",342.0,5.9,0.9,77.6
"POPCORN,SUGAR SYRUP/CARAMEL,FAT-FREE",381.0,2.0,1.4,90.06
"POTATO CHIPS,FAT FREE,SALTED",379.0,9.64,0.6,83.76
"SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",414.0,3.4,9.0,80.5
"SNACKS,KELLOGG'S LOFAT GRANOLA BAR,CRUNCHY ALMD/BRN SUGAR",390.0,8.0,7.4,78.0
"SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,CHOC CHIP",420.0,4.47,13.02,72.31
"SNACKS,KELLOGG'S,NUTRI-GRAIN CRL BARS,FRUIT",376.0,5.41,8.11,70.33
"SNACKS,TORTILLA CHIPS,LOFAT,MADE W/OLESTRA,NACHO CHS",318.0,8.44,3.53,65.22
"SNACKS,POTATO CHIPS,FRM DRIED POTATOES,FAT-FREE,W/ OLESTRA",253.0,5.06,0.93,56.0
TARO CHIPS,498.0,2.3,24.9,68.1
"CANDIES,SEMISWEET CHOC,MADE W/BUTTER",477.0,4.2,29.7,63.4
"GELATIN DSSRT,DRY MIX,W/ ADDED VIT C,SODIUM-CITRATE & SALT",381.0,7.8,0.0,90.5
"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,ADDED P,K,NA,VIT C",345.0,55.3,0.0,33.3
"GELATIN DSSRT,DRY MIX,RED CAL,W/ ASPRT,NO ADDED NA",345.0,55.3,0.0,33.3
"PUDDINGS,BANANA,DRY MIX,INST,W/ ADDED OIL",386.0,0.0,4.4,89.0
"PUDDINGS,BANANA,DRY MIX,REG,W/ ADDED OIL",387.0,0.0,5.0,88.4
"PUDDINGS,LEMON,DRY MIX,REG,W/ ADDED OIL,K,NA",366.0,0.1,1.5,90.3
"PUDDINGS,TAPIOCA,DRY MIX,W/ NO ADDED SALT",369.0,0.1,0.1,94.3
"PUDDINGS,VANILLA,DRY MIX,REG,W/ ADDED OIL",369.0,0.3,1.1,92.4
"JAMS&PRESERVES,APRICOT",242.0,0.7,0.2,64.4
"SYRUPS,TABLE BLENDS,PANCAKE,W/2% MAPLE,W/ K",265.0,0.0,0.1,69.6
"CORN CAKES,VERY LO NA",387.0,8.1,2.4,83.4
"SNACKS,CORN-BASED,EXTRDD,PUFFS OR TWISTS,CHEESE-FLAVOR,UNENR",558.0,5.76,35.76,54.1
"SNACKS,CORN-BASE,EXTRUD,CHIPS,BARBECUE-FLAVOR,W/ENR MASA FLR",523.0,7.0,32.7,56.2
"POPCORN,AIR-POPPED,WHITE POPCORN",382.0,12.0,4.2,77.9
"POPCORN,OIL-POPPED,WHITE POPCORN",500.0,9.0,28.1,57.2
"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,SALTED",536.0,7.0,34.6,52.9
"POTATO CHIPS,PLN,MADE W/PART HYDR SOYBN OIL,UNSALTED",536.0,7.0,34.6,52.9
"POTATO CHIPS,PLN,UNSALTED",536.0,7.0,34.6,52.9
"PRETZELS,HARD,PLN,MADE W/UNENR FLR,SALTED",381.0,9.1,3.5,79.2
"PRETZELS,HARD,PLN,MADE W/UNENR FLR,UNSALTED",381.0,9.1,3.5,79.2
"SNACKS,PRETZELS,HARD,PLN,MADE W/ ENR FLR,UNSALTED",381.0,9.1,3.5,79.2
"RICE CAKES,BROWN RICE,PLN,UNSALTED",387.0,8.2,2.8,81.5
"RICE CAKES,BROWN RICE,BUCKWHEAT,UNSALTED",380.0,9.0,3.5,80.1
"RICE CAKES,BROWN RICE,MULTIGRAIN,UNSALTED",387.0,8.5,3.5,80.1
"RICE CAKES,BROWN RICE,SESAME SD,UNSALTED",392.0,7.6,3.8,81.5
"SESAME STKS,WHEAT-BASED,UNSALTED",541.0,10.9,36.7,46.5
"TRAIL MIX,REG,UNSALTED",462.0,13.8,29.4,44.9
"TRAIL MIX,REG,W/CHOC CHIPS,UNSALTED NUTS&SEEDS",484.0,14.2,31.9,44.9
"POTATO CHIPS,WO/SALT,RED FAT",487.0,7.1,20.8,67.8
"TORTILLA CHIPS,LOFAT,UNSALTED",416.0,11.0,5.7,80.1
"FROZEN NOVELTIES,JUC TYPE,POPSICLE SCRIBBLERS",81.0,0.0,0.24,19.68
"SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,MADE W/ENR MASA FLR",498.0,7.8,25.6,62.4
"CANDIES,SUGAR-COATED ALMONDS",474.0,10.0,17.93,68.26
"COCOA,DRY PDR,HI-FAT OR BRKFST,PLN",486.0,16.8,23.71,51.39
"COCOA,DRY PDR,HI-FAT OR BRKFST,PROC W/ALKALI",479.0,16.8,23.71,49.71
"CANDIES,SOFT FRUIT & NUT SQUARES",390.0,2.31,9.52,73.81
"ICE CREAMS,VANILLA,FAT FREE",138.0,4.48,0.0,30.06
"SWEETENERS,TABLETOP,SUCRALOSE,SPLENDA PACKETS",336.0,0.0,0.0,91.17
"FROZEN NOVELTIES,NO SUGAR ADDED,FUDGESICLE POPS",105.0,3.6,0.97,22.28
"FROZEN NOVELTIES,FAT FREE FUDGESICLE BARS",127.0,5.55,0.66,26.94
"FROZ NOVELTIES,ICE TYPE,SUGAR FREE,ORNGE,CHRY,& GRP POPSICLE",21.0,0.0,0.0,5.14
"FRZ NVL, KLONDIKE,SLIM-A-BEAR FUDG BR,98% FT FR,NO SGR ADDED",124.0,4.31,1.88,30.07
"ICE CREAMS,BREYERS,ALL NAT LT VANILLA",162.0,4.84,4.59,25.3
"ICE CREAMS,BREYERS,ALL NAT LT FRENCH VANILLA",173.0,4.82,5.56,26.03
"ICE CREAMS,BREYERS,98% FAT FREE VANILLA",137.0,3.3,2.2,30.51
"ICE CREAMS,BREYERS,ALL NAT LT VANILLA CHOC STRAWBERRY",161.0,4.69,4.35,26.06
"ICE CREAMS,BREYERS,ALL NAT LT MINT CHOC CHIP",196.0,4.69,7.09,28.39
"ICE CREAMS,BREYERS,NO SUGAR ADDED,BUTTER PECAN",180.0,3.99,10.3,21.3
"ICE CREAMS,BREYERS,NO SUGAR ADDED,FRENCH VANILLA",154.0,4.5,7.05,20.75
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA",143.0,3.68,6.2,21.92
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA FUDGE TWIRL",153.0,3.53,5.68,25.63
"ICE CREAMS,BREYERS,NO SUGAR ADDED,VANILLA CHOC STRAWBERRY",143.0,3.71,6.26,21.7
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA CONE",222.0,3.72,4.0,44.75
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC CONE",224.0,4.09,4.1,45.32
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR VANILLA SNDWCH",211.0,5.96,2.34,44.2
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC SNDWCH",212.0,6.21,2.43,44.12
"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR MINT SNDWCH",210.0,5.96,2.34,44.16
"FROZEN NOVL,KLONDIKE,SLIM-A-BEAR,NO SGR ADDED,STICKLESS BAR",224.0,5.16,11.93,27.09
"FROZEN NOVELTIES,NO SUGAR ADDED CREAMSICLE POPS",57.0,1.78,0.86,14.54
"FROZEN NOVELTIES,SUGAR FREE,CREAMSICLE POPS",49.0,1.37,2.33,11.95
"ICE CREAMS,BREYERS,ALL NAT LT FRENCH CHOC",201.0,5.3,7.28,29.68
"ICE CREAMS,BREYERS,98% FAT FREE CHOC",136.0,3.89,2.17,30.18
"ICE CREAMS,BREYERS,NO SUGAR ADDED,CHOC CARAMEL",151.0,3.54,5.8,25.17
"CANDIES,REESE'S FAST BREAK,CANDY BAR",495.0,8.93,23.21,63.9
"CANDIES,MARS SNACKFOOD US,COCOAVIA CHOC COVERED ALMONDS",573.0,9.51,37.07,50.22
"ICE CREAMS,REG,LO CARBOHYDRATE,VANILLA",216.0,3.17,12.7,22.23
"ICE CREAMS,REG,LO CARBOHYDRATE,CHOC",237.0,3.8,12.7,26.8
"CHOCOLATE,DK,45- 59% CACAO SOL",546.0,4.88,31.28,61.17
"CHOCOLATE,DK,60-69% CACAO SOL",579.0,6.12,38.31,52.42
"CHOCOLATE,DK,70-85% CACAO SOL",598.0,7.79,42.63,45.9
"CANDIES,CHOC,DK,NFS (45-59% CACAO SOL 90%; 60-69% CACAO SOL",550.0,5.09,32.2,59.97
"SWEETENERS,FOR BAKING,BROWN,CONTAINS SUGAR & SUCRALOSE",388.0,0.0,0.0,97.11
"SWEETENERS,FOR BAKING,CONTAINS SUGAR & SUCRALOSE",398.0,0.0,0.0,99.53
"SUGAR,TURBINADO",399.0,0.0,0.0,99.8
"SWEETENERS,SUGAR SUB,GRANULATED,BROWN",347.0,2.06,0.0,84.77
"CANDIES,CRISPY BAR W/ PNUT BUTTER FILLING",542.0,9.53,31.34,55.53
"AMARANTH,UNCKD",371.0,13.56,7.02,65.25
"AMARANTH GRAIN,CKD",102.0,3.8,1.58,18.69
ARROWROOT FLOUR,357.0,0.3,0.1,88.15
"BARLEY,HULLED",354.0,12.48,2.3,73.48
"BARLEY,PEARLED,RAW",352.0,9.91,1.16,77.72
"BARLEY,PEARLED,COOKED",123.0,2.26,0.44,28.22
BUCKWHEAT,343.0,13.25,3.4,71.5
"BUCKWHEAT GROATS,RSTD,DRY",346.0,11.73,2.71,74.95
"BUCKWHEAT GROATS,RSTD,CKD",92.0,3.38,0.62,19.94
"BUCKWHEAT FLR,WHOLE-GROAT",335.0,12.62,3.1,70.59
"BULGUR,DRY",342.0,12.29,1.33,75.87
"BULGUR,COOKED",83.0,3.08,0.24,18.58
"CORN,YELLOW",365.0,9.42,4.74,74.26
"CORN BRAN,CRUDE",224.0,8.36,0.92,85.64
"CORN FLR,WHOLE-GRAIN,YEL",361.0,6.93,3.86,76.85
"CORN FLR,MASA,ENR,WHITE",365.0,9.28,3.86,76.29
"CORN FLR,DEGERMED,UNENR,YEL",375.0,5.59,1.39,82.75
"CORN FLR,MASA,UNENR,WHITE",365.0,9.28,3.86,76.29
"CORNMEAL,WHOLE-GRAIN,YEL",362.0,8.12,3.59,76.89
"CORNMEAL,DEGERMED,ENR,YEL",370.0,7.11,1.75,79.45
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,YEL",334.0,8.28,3.4,70.28
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,YEL",348.0,8.41,2.85,73.43
"CORNMEAL,SELF-RISING,DEGERMED,ENR,YEL",355.0,8.41,1.72,74.79
CORNSTARCH,381.0,0.26,0.05,91.27
"COUSCOUS,DRY",376.0,12.76,0.64,77.43
"COUSCOUS,COOKED",112.0,3.79,0.16,23.22
"HOMINY,CANNED,WHITE",72.0,1.48,0.88,14.26
"MILLET,RAW",378.0,11.02,4.22,72.85
"MILLET,COOKED",119.0,3.51,1.0,23.67
"OAT BRAN,RAW",246.0,17.3,7.03,66.22
"OAT BRAN,COOKED",40.0,3.21,0.86,11.44
"QUINOA,UNCKD",368.0,14.12,6.07,64.16
"RICE,BROWN,LONG-GRAIN,RAW",370.0,7.94,2.92,77.24
"RICE,BROWN,LONG-GRAIN,CKD",111.0,2.58,0.9,22.96
OATS,389.0,16.89,6.9,66.27
"RICE,BROWN,MEDIUM-GRAIN,RAW",362.0,7.5,2.68,76.17
"RICE,BROWN,MEDIUM-GRAIN,CKD",112.0,2.32,0.83,23.51
"RICE,WHITE,LONG-GRAIN,REG,RAW,ENR",365.0,7.13,0.66,79.95
"RICE,WHITE,LONG-GRAIN,REG,CKD",130.0,2.69,0.28,28.17
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,DRY",374.0,7.51,1.03,80.89
"RICE,WHITE,LONG-GRAIN,PARBLD,ENR,CKD",123.0,2.91,0.37,26.05
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,DRY",380.0,7.82,0.94,82.32
"RICE,WHITE,LONG-GRAIN,PRECKD OR INST,ENR,PREP",117.0,2.18,0.5,25.1
"RICE,WHITE,MEDIUM-GRAIN,RAW,ENR",360.0,6.61,0.58,79.34
"RICE,WHITE,MEDIUM-GRAIN,CKD",130.0,2.38,0.21,28.59
"RICE,WHITE,SHORT-GRAIN,RAW",358.0,6.5,0.52,79.15
"RICE,WHITE,SHORT-GRAIN,CKD",130.0,2.36,0.19,28.73
"RICE,WHITE,GLUTINOUS,RAW",370.0,6.81,0.55,81.68
"RICE,WHITE,GLUTINOUS,CKD",97.0,2.02,0.19,21.09
"RICE,WHITE,WITH PASTA,DRY",368.0,9.37,2.44,75.32
"RICE,WHITE,W/PASTA,CKD",122.0,2.54,2.82,21.43
"RICE,WHITE,STMD,CHINESE RESTAURANT",151.0,3.2,0.27,33.88
"RICE BRAN,CRUDE",316.0,13.35,20.85,49.69
"RICE FLOUR,WHITE",366.0,5.95,1.42,80.13
RYE,338.0,10.34,1.63,75.86
"RYE FLOUR,DARK",325.0,15.91,2.22,68.63
"RYE FLOUR,MEDIUM",349.0,10.88,1.52,75.43
"RYE FLOUR,LIGHT",357.0,9.82,1.33,76.68
"SEMOLINA,ENRICHED",360.0,12.68,1.05,72.83
SORGHUM,339.0,11.3,3.3,74.63
"TAPIOCA,PEARL,DRY",358.0,0.19,0.02,88.69
TRITICALE,336.0,13.05,2.09,72.13
"TRITICALE FLR,WHOLE-GRAIN",338.0,13.18,1.81,73.14
"WHEAT,HARD RED SPRING",329.0,15.4,1.92,68.03
"WHEAT,HARD RED WINTER",327.0,12.61,1.54,71.18
"WHEAT,SOFT RED WINTER",331.0,10.35,1.56,74.24
"WHEAT,HARD WHITE",342.0,11.31,1.71,75.9
"WHEAT,SOFT WHITE",340.0,10.69,1.99,75.36
"WHEAT,DURUM",339.0,13.68,2.47,71.13
"WHEAT BRAN,CRUDE",216.0,15.55,4.25,64.51
"WHEAT GERM,CRUDE",360.0,23.15,9.72,51.8
"WHEAT FLOUR,WHOLE-GRAIN",340.0,13.21,2.5,71.97
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,BLEACHED",364.0,10.33,0.98,76.31
"WHEAT FLR,WHITE,ALL-PURPOSE,SELF-RISING,ENR",354.0,9.89,0.97,74.22
"WHEAT FLR,WHITE,BREAD,ENR",361.0,11.98,1.66,72.53
"WHEAT FLR,WHITE,CAKE,ENR",362.0,8.2,0.86,78.03
"WHEAT FLR,WHITE,TORTILLA MIX,ENR",405.0,9.66,10.63,67.14
"WHEAT,SPROUTED",198.0,7.49,1.27,42.53
"WILD RICE,RAW",357.0,14.73,1.08,74.9
"WILD RICE,COOKED",101.0,3.99,0.34,21.34
"RICE FLOUR,BROWN",363.0,7.23,2.78,76.48
"PASTA,CORN,DRY",357.0,7.46,2.08,79.26
"PASTA,CORN,COOKED",126.0,2.63,0.73,27.91
"PASTA,FRESH-REFRIGERATED,PLN,AS PURCHASED",288.0,11.31,2.3,54.73
"PASTA,FRESH-REFRIGERATED,PLN,CKD",131.0,5.15,1.05,24.93
"PASTA,FRESH-REFRIGERATED,SPINACH,AS PURCHASED",289.0,11.26,2.1,55.72
"PASTA,FRESH-REFRIGERATED,SPINACH,CKD",130.0,5.06,0.94,25.04
"PASTA,HOMEMADE,MADE W/EGG,CKD",130.0,5.28,1.74,23.54
"PASTA,HOMEMADE,MADE WO/EGG,CKD",124.0,4.37,0.98,25.12
"MACARONI,DRY,ENR",371.0,13.04,1.51,74.67
"MACARONI,COOKED,ENRICHED",158.0,5.8,0.93,30.86
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 5.70)",375.0,19.86,2.23,67.56
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 5.70)",164.0,8.08,0.21,31.66
"MACARONI,VEG,DRY,ENR",367.0,13.14,1.04,74.88
"MACARONI,VEG,CKD,ENR",128.0,4.53,0.11,26.61
"MACARONI,WHOLE-WHEAT,DRY",348.0,14.63,1.4,75.03
"MACARONI,WHOLE-WHEAT,CKD",124.0,5.33,0.54,26.54
"NOODLES,EGG,DRY,ENRICHED",384.0,14.16,4.44,71.27
"NOODLES,EGG,CKD,ENR",138.0,4.54,2.07,25.16
"NOODLES,EGG,SPINACH,DRY,ENR",382.0,14.61,4.55,70.32
"NOODLES,EGG,SPINACH,CKD,ENR",132.0,5.04,1.57,24.25
"NOODLES,CHINESE,CHOW MEIN",527.0,8.38,30.76,57.54
"NOODLES,JAPANESE,SOBA,DRY",336.0,14.38,0.71,74.62
"NOODLES,JAPANESE,SOBA,CKD",99.0,5.06,0.1,21.44
"NOODLES,JAPANESE,SOMEN,DRY",356.0,11.35,0.81,74.1
"NOODLES,JAPANESE,SOMEN,CKD",131.0,4.0,0.18,27.54
"NOODLES,FLAT,CRUNCHY,CHINESE RESTAURANT",521.0,10.33,31.72,51.9
"SPAGHETTI,DRY,ENRICHED",371.0,13.04,1.51,74.67
"SPAGHETTI,CKD,ENR,WO/ SALT",158.0,5.8,0.93,30.86
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 5.70)",375.0,19.86,2.23,67.56
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 5.70)",164.0,8.08,0.21,31.66
"SPAGHETTI,WHOLE-WHEAT,DRY",348.0,14.63,1.4,75.03
"SPAGHETTI,WHOLE-WHEAT,CKD",124.0,5.33,0.54,26.54
"SPAGHETTI,SPINACH,DRY",372.0,13.35,1.57,74.81
"SPAGHETTI,SPINACH,COOKED",130.0,4.58,0.63,26.15
"WHEAT FLOURS,BREAD,UNENR",361.0,11.98,1.66,72.53
BARLEY FLOUR OR MEAL,345.0,10.5,1.6,74.52
BARLEY MALT FLR,361.0,10.28,1.84,78.3
"OAT FLR,PART DEBRANNED",404.0,14.66,9.12,65.7
"RICE NOODLES,DRY",364.0,3.44,0.56,83.24
"RICE NOODLES,COOKED",109.0,0.91,0.2,24.9
"QUINOA,CKD",120.0,4.4,1.92,21.3
"KAMUT,UNCKD",337.0,14.7,2.2,70.38
"KAMUT,CKD",146.0,6.45,0.91,30.46
"SPELT,UNCKD",338.0,14.57,2.43,70.19
"SPELT,CKD",127.0,5.5,0.85,26.44
"TEFF,UNCKD",367.0,13.3,2.38,73.13
"TEFF,CKD",101.0,3.87,0.65,19.86
"MACARONI,PROTEIN-FORTIFIED,DRY,ENR,(N X 6.25)",374.0,21.78,2.23,65.65
"MACARONI,PROTEIN-FORTIFIED,CKD,ENR,(N X 6.25)",164.0,8.86,0.21,30.88
"NOODLES,EGG,CKD,ENR,W/ SALT",138.0,4.54,2.07,25.16
"CORN FLR,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)",364.0,8.75,5.09,73.89
"CORN FLR,WHOLE-GRAIN,WHITE",361.0,6.93,3.86,76.85
"CORN FLR,MASA,ENR,YEL",365.0,9.28,3.86,76.29
"CORNMEAL,WHOLE-GRAIN,WHITE",362.0,8.12,3.59,76.89
"SPAGHETTI,CKD,ENR,W/ SALT",157.0,5.8,0.93,30.59
"CORNMEAL,DEGERMED,ENR,WHITE",370.0,7.11,1.75,79.45
"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,WHITE",334.0,8.28,3.4,70.28
"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,WHITE",348.0,8.41,2.85,73.43
"CORNMEAL,SELF-RISING,DEGERMED,ENR,WHITE",355.0,8.41,1.72,74.79
"HOMINY,CANNED,YELLOW",72.0,1.48,0.88,14.26
"RICE,WHITE,LONG-GRAIN,REG,CKD,ENR,W/SALT",130.0,2.69,0.28,28.17
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED",364.0,10.33,0.98,76.31
"MACARONI,CKD,UNENR",158.0,5.8,0.93,30.86
"NOODLES,EGG,DRY,UNENR",384.0,14.16,4.44,71.27
"NOODLES,EGG,CKD,UNENR,WO/ SALT",138.0,4.54,2.07,25.16
"SPAGHETTI,DRY,UNENRICHED",371.0,13.04,1.51,74.67
"SPAGHETTI,CKD,UNENR,WO/ SALT",158.0,5.8,0.93,30.86
"CORNMEAL,DEGERMED,UNENR,YEL",370.0,7.11,1.75,79.45
"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR",365.0,7.13,0.66,79.95
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,WO/SALT",130.0,2.69,0.28,28.17
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY",374.0,7.51,1.03,80.89
"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD",123.0,2.91,0.37,26.05
"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR",360.0,6.61,0.58,79.34
"RICE,WHITE,MEDIUM-GRAIN,CKD,UNENR",130.0,2.38,0.21,28.59
"RICE,WHITE,SHORT-GRAIN,RAW,UNENR",358.0,6.5,0.52,79.15
"RICE,WHITE,SHORT-GRAIN,CKD,UNENR",130.0,2.36,0.19,28.73
"SEMOLINA,UNENRICHED",360.0,12.68,1.05,72.83
"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR",364.0,10.33,0.98,76.31
"MACARONI,DRY,UNENRICHED",371.0,13.04,1.51,74.67
"NOODLES,EGG,CKD,UNENR,W/ SALT",138.0,4.54,2.07,25.16
"SPAGHETTI,CKD,UNENR,W/ SALT",157.0,5.8,0.93,30.59
"CORNMEAL,DEGERMED,UNENR,WHITE",370.0,7.11,1.75,79.45
"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)",164.0,8.86,0.21,30.88
"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT",130.0,2.69,0.28,28.17
"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED",364.0,10.33,0.98,76.31
"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)",374.0,21.78,2.23,65.65
"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,ENR",367.0,8.89,1.43,77.32
